n_ops,seq_len,winding,shape,steps_settle
2,16,0.6254830360412598,settle,12
2,16,0.6078117489814758,settle,13
2,16,0.6078116297721863,settle,13
2,16,0.607811689376831,settle,13
2,16,0.623794436454773,settle,12
4,22,0.6359919309616089,settle,12
4,22,0.6243104934692383,settle,13
4,22,0.6230142712593079,settle,13
4,22,0.6207649111747742,settle,13
4,22,0.6155256628990173,settle,12
8,34,0.6186065077781677,settle,13
8,34,0.6168238520622253,settle,14
8,34,0.620208203792572,settle,15
8,34,0.6217907071113586,settle,13
8,34,0.631142795085907,settle,12
16,58,0.6293905377388,settle,13
16,58,0.6092164516448975,settle,14
16,58,0.6060851812362671,settle,15
16,58,0.6529319286346436,settle,14
16,58,0.6304806470870972,settle,14
24,82,0.6387544274330139,settle,13
24,82,0.6479064226150513,settle,15
24,82,0.6182750463485718,settle,16
24,82,0.6448374390602112,settle,15
24,82,0.6385601162910461,settle,16
32,106,0.6672762036323547,settle,13
32,106,0.6471238136291504,settle,15
32,106,0.6153678297996521,settle,15
32,106,0.6609019637107849,settle,15
32,106,0.6523759365081787,settle,15
