n_ops,kind,task_seed,init_seed,seq_len,winding,steps_settle,contraction,lyap
2,track,0,0,16,0.625482976436615,12,-0.06501761078834534,-0.045039965484919016
2,track,0,1,16,0.6291493773460388,12,-0.06698409467935562,-0.045039965484919016
2,track,0,2,16,0.6273069977760315,13,-0.06903649121522903,-0.045039965484919016
2,track,0,3,16,0.6343434453010559,13,-0.06682784110307693,-0.045039965484919016
2,track,0,4,16,0.630349338054657,13,-0.06727322936058044,-0.045039965484919016
2,local,0,0,19,0.6740477681159973,12,-0.06719077378511429,-0.05038895914825736
2,local,0,1,19,0.6702016592025757,13,-0.06736905127763748,-0.05038895914825736
2,local,0,2,19,0.6334062814712524,13,-0.06817619502544403,-0.05038895914825736
2,local,0,3,19,0.6581260561943054,12,-0.06957504898309708,-0.05038895914825736
2,local,0,4,19,0.6512563824653625,13,-0.06672429293394089,-0.05038895914825736
2,track,1,0,16,0.6078117489814758,13,-0.06781808286905289,-0.046777433547235646
2,track,1,1,16,0.6210903525352478,13,-0.06520901620388031,-0.046777433547235646
2,track,1,2,16,0.6187801361083984,14,-0.06655434519052505,-0.046777433547235646
2,track,1,3,16,0.6106001734733582,14,-0.06735595315694809,-0.046777433547235646
2,track,1,4,16,0.6102412939071655,14,-0.06631764024496078,-0.046777433547235646
2,local,1,0,19,0.6478561758995056,13,-0.06856602430343628,-0.050969415569793945
2,local,1,1,19,0.660991370677948,13,-0.06675270199775696,-0.050969415569793945
2,local,1,2,19,0.6300654411315918,13,-0.06859461218118668,-0.050969415569793945
2,local,1,3,19,0.6469321250915527,13,-0.06627106666564941,-0.050969415569793945
2,local,1,4,19,0.6378600597381592,14,-0.06777168810367584,-0.050969415569793945
2,track,2,0,16,0.6078117489814758,13,-0.06781808286905289,-0.046777433547235646
2,track,2,1,16,0.6210903525352478,13,-0.06520901620388031,-0.046777433547235646
2,track,2,2,16,0.6187800765037537,14,-0.06655434519052505,-0.046777433547235646
2,track,2,3,16,0.6106003522872925,14,-0.06735595315694809,-0.046777433547235646
2,track,2,4,16,0.6102412343025208,14,-0.06631764024496078,-0.046777433547235646
2,local,2,0,19,0.6478563547134399,13,-0.06856602430343628,-0.050969415569793945
2,local,2,1,19,0.6609912514686584,13,-0.06675270199775696,-0.050969415569793945
2,local,2,2,19,0.6300653219223022,13,-0.06859461218118668,-0.050969415569793945
2,local,2,3,19,0.6469321250915527,13,-0.06627106666564941,-0.050969415569793945
2,local,2,4,19,0.6378602981567383,14,-0.06777168810367584,-0.050969415569793945
2,track,3,0,16,0.6078118085861206,13,-0.06781808286905289,-0.046777433547235646
2,track,3,1,16,0.6210903525352478,13,-0.06520901620388031,-0.046777433547235646
2,track,3,2,16,0.6187801957130432,14,-0.06655434519052505,-0.046777433547235646
2,track,3,3,16,0.6106001138687134,14,-0.06735595315694809,-0.046777433547235646
2,track,3,4,16,0.6102413535118103,14,-0.06631764024496078,-0.046777433547235646
2,local,3,0,19,0.6478561758995056,13,-0.06856602430343628,-0.050969415569793945
2,local,3,1,19,0.6609912514686584,13,-0.06675270199775696,-0.050969415569793945
2,local,3,2,19,0.6300654411315918,13,-0.06859461218118668,-0.050969415569793945
2,local,3,3,19,0.6469321250915527,13,-0.06627106666564941,-0.050969415569793945
2,local,3,4,19,0.637860119342804,14,-0.06777168810367584,-0.050969415569793945
2,track,4,0,16,0.6237944960594177,12,-0.06715701520442963,-0.04705978174772346
2,track,4,1,16,0.6254575252532959,13,-0.06622383743524551,-0.04705978174772346
2,track,4,2,16,0.6255788207054138,12,-0.06714372336864471,-0.04705978174772346
2,track,4,3,16,0.6223645806312561,12,-0.06637644022703171,-0.04705978174772346
2,track,4,4,16,0.614608883857727,13,-0.06535667181015015,-0.04705978174772346
2,local,4,0,19,0.6791984438896179,12,-0.06653477996587753,-0.04805071930445373
2,local,4,1,19,0.6870760321617126,13,-0.0670730322599411,-0.04805071930445373
2,local,4,2,19,0.6622961759567261,13,-0.06545042991638184,-0.04805071930445373
2,local,4,3,19,0.662233293056488,13,-0.0672697052359581,-0.04805071930445373
2,local,4,4,19,0.6758062839508057,14,-0.06600240617990494,-0.04805071930445373
2,track,5,0,16,0.6254830956459045,12,-0.06501761078834534,-0.045039965484919016
2,track,5,1,16,0.6291494369506836,12,-0.06698409467935562,-0.045039965484919016
2,track,5,2,16,0.6273068785667419,13,-0.06903649121522903,-0.045039965484919016
2,track,5,3,16,0.6343432664871216,13,-0.06682784110307693,-0.045039965484919016
2,track,5,4,16,0.6303493976593018,13,-0.06727322936058044,-0.045039965484919016
2,local,5,0,19,0.6740478277206421,12,-0.06719077378511429,-0.05038895914825736
2,local,5,1,19,0.6702015399932861,13,-0.06736905127763748,-0.05038895914825736
2,local,5,2,19,0.6334065198898315,13,-0.06817619502544403,-0.05038895914825736
2,local,5,3,19,0.6581258177757263,12,-0.06957504898309708,-0.05038895914825736
2,local,5,4,19,0.6512565612792969,13,-0.06672429293394089,-0.05038895914825736
4,track,0,0,22,0.6359918713569641,12,-0.0661683902144432,-0.045545958034394006
4,track,0,1,22,0.6445462703704834,13,-0.066350556910038,-0.045545958034394006
