n_ops,kind,seq_len,winding,steps_settle
4,track,22,0.6359919905662537,12
4,local,25,0.6254304647445679,15
4,track,22,0.6243103742599487,13
4,local,25,0.701600968837738,15
4,track,22,0.6230144500732422,13
4,local,25,0.7308861017227173,16
4,track,22,0.620764970779419,13
4,local,25,0.7299831509590149,15
4,track,22,0.6155256032943726,12
4,local,25,0.6049858331680298,15
4,track,22,0.6359920501708984,12
4,local,25,0.6254304647445679,15
4,track,22,0.6201097965240479,12
4,local,25,0.6033028364181519,15
4,track,22,0.6305785179138184,12
4,local,25,0.5904723405838013,16
4,track,22,0.6201097369194031,12
4,local,25,0.6033027768135071,15
4,track,22,0.6237840056419373,12
4,local,25,0.5789766311645508,16
4,track,22,0.6201097369194031,12
4,local,25,0.6033027172088623,15
4,track,22,0.6237838864326477,12
4,local,25,0.578976571559906,16
4,track,22,0.6237838268280029,12
4,local,25,0.5789766907691956,16
4,track,22,0.6400378942489624,12
4,local,25,0.5945138335227966,15
4,track,22,0.620764970779419,13
4,local,25,0.7299834489822388,15
8,track,34,0.6186066269874573,13
8,local,37,0.5803632140159607,14
8,track,34,0.6168238520622253,14
8,local,37,0.6964452266693115,15
8,track,34,0.6202080249786377,15
8,local,37,0.7000492811203003,15
8,track,34,0.6217907667160034,13
8,local,37,0.7036108374595642,15
8,track,34,0.6311428546905518,12
8,local,37,0.5983010530471802,14
8,track,34,0.6294600367546082,13
8,local,37,0.5788025259971619,16
8,track,34,0.627516508102417,13
8,local,37,0.5771603584289551,15
8,track,34,0.6418092846870422,13
8,local,37,0.599130392074585,15
8,track,34,0.6385016441345215,13
8,local,37,0.5868808031082153,15
8,track,34,0.6239191293716431,15
8,local,37,0.6033509373664856,14
8,track,34,0.6299587488174438,13
8,local,37,0.5735317468643188,15
8,track,34,0.6313007473945618,15
8,local,37,0.6146290302276611,15
8,track,34,0.6249460577964783,15
8,local,37,0.615859866142273,14
8,track,34,0.6280053853988647,13
8,local,37,0.5744613409042358,16
8,track,34,0.610906720161438,14
8,local,37,0.7152857780456543,15
16,track,58,0.6293905973434448,13
16,local,61,0.6281370520591736,13
16,track,58,0.6092165112495422,14
16,local,61,0.688876748085022,13
16,track,58,0.6060850024223328,15
16,local,61,0.6659532785415649,13
16,track,58,0.6529316306114197,14
16,local,61,0.6873979568481445,13
16,track,58,0.6304806470870972,14
16,local,61,0.6744201183319092,14
16,track,58,0.6320698857307434,13
16,local,61,0.6295164227485657,14
16,track,58,0.6356048583984375,15
16,local,61,0.6775388121604919,14
16,track,58,0.6424065828323364,14
16,local,61,0.6290454268455505,14
16,track,58,0.6135587096214294,14
16,local,61,0.6631448864936829,14
16,track,58,0.6352103352546692,15
16,local,61,0.6281470060348511,13
16,track,58,0.6390904784202576,14
16,local,61,0.6667670011520386,14
16,track,58,0.6388044953346252,15
16,local,61,0.6288029551506042,13
16,track,58,0.6353265643119812,15
16,local,61,0.622459352016449,13
16,track,58,0.6288881897926331,14
16,local,61,0.6237924695014954,14
16,track,58,0.6135542392730713,14
16,local,61,0.6831690669059753,13
24,track,82,0.6387543678283691,13
24,local,85,0.6182911992073059,14
24,track,82,0.6479067206382751,15
24,local,85,0.6210139393806458,14
24,track,82,0.6182748675346375,16
24,local,85,0.6935475468635559,14
24,track,82,0.6448375582695007,15
24,local,85,0.6300995945930481,13
24,track,82,0.6385599970817566,16
24,local,85,0.6244502067565918,14
24,track,82,0.6447851657867432,15
24,local,85,0.6236990094184875,15
24,track,82,0.6513752341270447,15
24,local,85,0.629882276058197,14
24,track,82,0.6531679630279541,15
24,local,85,0.6243034601211548,14
24,track,82,0.6273654699325562,15
24,local,85,0.6324045062065125,14
24,track,82,0.6496608853340149,16
24,local,85,0.6255826354026794,13
24,track,82,0.6273581385612488,15
24,local,85,0.6156703233718872,14
24,track,82,0.6410950422286987,16
24,local,85,0.6264148354530334,15
24,track,82,0.6393893957138062,15
24,local,85,0.6158042550086975,14
24,track,82,0.6396430134773254,14
24,local,85,0.6189143061637878,15
24,track,82,0.6356761455535889,16
24,local,85,0.6659898161888123,14
32,track,106,0.6672760844230652,13
32,local,109,0.6255699992179871,15
32,track,106,0.6471239924430847,15
32,local,109,0.6422531604766846,13
32,track,106,0.6153677105903625,15
32,local,109,0.6310192942619324,15
32,track,106,0.6609018445014954,15
32,local,109,0.634541928768158,13
32,track,106,0.6523757576942444,15
