n_ops,kind,seq_len,winding,steps_settle
4,track,22,0.6359920501708984,12
4,local,25,0.6254306435585022,15
4,track,22,0.6243106722831726,13
4,local,25,0.7016012668609619,15
4,track,22,0.6230144500732422,13
4,local,25,0.7308861017227173,16
4,track,22,0.620764970779419,13
4,local,25,0.7299831509590149,15
4,track,22,0.6155258417129517,12
4,local,25,0.6049857139587402,15
8,track,34,0.618606448173523,13
8,local,37,0.5803632736206055,14
8,track,34,0.616823673248291,14
8,local,37,0.6964452266693115,15
8,track,34,0.620208203792572,15
8,local,37,0.7000489830970764,15
8,track,34,0.6217907667160034,13
8,local,37,0.7036111354827881,15
8,track,34,0.6311429142951965,12
8,local,37,0.598301112651825,14
16,track,58,0.629390299320221,13
16,local,61,0.6281372308731079,13
16,track,58,0.6092167496681213,14
16,local,61,0.6888766288757324,13
16,track,58,0.6060850024223328,15
16,local,61,0.6659531593322754,13
16,track,58,0.6529317498207092,14
16,local,61,0.6873980164527893,13
16,track,58,0.6304806470870972,14
16,local,61,0.6744200587272644,14
24,track,82,0.6387542486190796,13
24,local,85,0.6182912588119507,14
24,track,82,0.6479065418243408,15
24,local,85,0.621013879776001,14
24,track,82,0.6182748079299927,16
24,local,85,0.693547785282135,14
24,track,82,0.6448375582695007,15
24,local,85,0.6300999522209167,13
24,track,82,0.6385601162910461,16
24,local,85,0.6244502663612366,14
32,track,106,0.6672760844230652,13
32,local,109,0.6255699992179871,15
32,track,106,0.6471237540245056,15
32,local,109,0.6422532796859741,13
32,track,106,0.6153680086135864,15
32,local,109,0.6310194134712219,15
32,track,106,0.6609019637107849,15
32,local,109,0.6345418691635132,13
32,track,106,0.6523756384849548,15
32,local,109,0.6391735672950745,13
48,track,154,0.6355228424072266,13
48,local,157,0.6133118271827698,13
48,track,154,0.6304206848144531,15
48,local,157,0.6345465779304504,13
48,track,154,0.6114214658737183,15
48,local,157,0.6311704516410828,13
48,track,154,0.6441079378128052,15
48,local,157,0.6144087910652161,13
48,track,154,0.630580484867096,15
48,local,157,0.6156302690505981,13
