num_steps,n_ops,regime
10,4,drift
10,4,drift
10,4,drift
10,4,drift
10,4,drift
10,4,drift
10,8,drift
10,8,drift
10,8,drift
10,8,drift
10,8,drift
10,8,drift
10,16,drift
10,16,drift
10,16,drift
10,16,drift
10,16,drift
10,16,drift
10,24,drift
10,24,drift
10,24,drift
10,24,drift
10,24,drift
10,24,drift
10,32,drift
10,32,drift
10,32,drift
10,32,drift
10,32,drift
10,32,drift
10,48,drift
10,48,drift
10,48,drift
10,48,drift
10,48,drift
10,48,drift
14,4,settle
14,4,loop
14,4,loop
14,4,loop
14,4,settle
14,4,settle
14,8,drift
14,8,drift
14,8,drift
14,8,drift
14,8,settle
14,8,loop
14,16,drift
14,16,drift
14,16,drift
14,16,drift
14,16,drift
14,16,drift
14,24,loop
14,24,drift
14,24,drift
14,24,drift
14,24,drift
14,24,loop
14,32,loop
14,32,drift
14,32,drift
14,32,drift
14,32,drift
14,32,drift
14,48,loop
14,48,drift
14,48,drift
14,48,drift
14,48,drift
14,48,loop
16,4,settle
16,4,settle
16,4,settle
16,4,settle
16,4,settle
16,4,settle
16,8,settle
16,8,settle
16,8,loop
16,8,settle
16,8,settle
16,8,settle
16,16,settle
16,16,settle
16,16,drift
16,16,settle
16,16,settle
16,16,settle
16,24,settle
16,24,loop
16,24,loop
16,24,loop
16,24,loop
16,24,loop
16,32,settle
16,32,loop
16,32,loop
16,32,loop
16,32,loop
16,32,settle
16,48,settle
16,48,loop
16,48,loop
16,48,loop
16,48,drift
16,48,settle
18,4,settle
18,4,settle
18,4,settle
18,4,settle
18,4,settle
18,4,settle
18,8,settle
18,8,settle
18,8,settle
18,8,settle
18,8,settle
18,8,settle
18,16,settle
18,16,settle
18,16,settle
18,16,settle
18,16,settle
18,16,settle
18,24,settle
18,24,settle
18,24,settle
18,24,settle
18,24,settle
18,24,settle
18,32,settle
18,32,settle
18,32,settle
18,32,settle
18,32,settle
18,32,settle
18,48,settle
18,48,settle
18,48,settle
18,48,settle
18,48,settle
18,48,settle
20,4,settle
20,4,settle
20,4,settle
20,4,settle
20,4,settle
20,4,settle
20,8,settle
20,8,settle
20,8,settle
20,8,settle
20,8,settle
20,8,settle
20,16,settle
20,16,settle
20,16,settle
20,16,settle
20,16,settle
20,16,settle
20,24,settle
20,24,settle
20,24,settle
20,24,settle
20,24,settle
20,24,settle
20,32,settle
20,32,settle
20,32,settle
20,32,settle
20,32,settle
20,32,settle
20,48,settle
20,48,settle
20,48,settle
20,48,settle
20,48,settle
20,48,settle
24,4,settle
24,4,settle
24,4,settle
24,4,settle
24,4,settle
24,4,settle
24,8,settle
24,8,settle
24,8,settle
24,8,settle
24,8,settle
24,8,settle
24,16,settle
24,16,settle
24,16,settle
24,16,settle
24,16,settle
24,16,settle
24,24,settle
24,24,settle
24,24,settle
24,24,settle
24,24,settle
24,24,settle
24,32,settle
24,32,settle
24,32,settle
24,32,settle
24,32,settle
24,32,settle
24,48,settle
24,48,settle
24,48,settle
24,48,settle
24,48,settle
24,48,settle
