acceleration,orthogonality,step_norms,exit_step_by_acceleration,exit_step_by_norm,max_acceleration,max_step_norm,mean_acceleration,mean_orthogonality,num_steps,depth,sample_id
"[15.919844964479587, 14.415192016815594, 12.836258656798359, 11.183480486536087, 10.329727838096382, 9.386448412352445, 8.191571492937463, 7.236370866610714, 6.576683444556608, 6.011735038331145, 5.320611287208868, 4.645639269936382, 4.217090027904745, 3.812842602908307, 3.4215016491133197, 2.9940729640114156, 2.709938888427802, 2.4294648260071674, 2.1639185598097215, 1.941106719523718, 1.7389458633307429, 1.5370649490923691, 1.3653873453227154, 1.239266251068097, 1.1147838936449872, 0.9877632621756696, 0.8860170116935244, 0.7968200322701153, 0.7092398475434735, 0.6348722459508148]","[-0.49534340197862353, -0.5000011723174816, -0.5054046097739938, -0.462234071048956, -0.5132683321560839, -0.5156395300889, -0.4955107512386279, -0.4870169937426814, -0.4991783401264001, -0.5119903294512916, -0.5004156460862743, -0.48032483291103756, -0.5061493317104451, -0.49074577594552565, -0.5082329773132538, -0.4885791794981222, -0.501207993306006, -0.4903250466378052, -0.49580291346322697, -0.49527418127834655, -0.5091673497506202, -0.4948847055488216, -0.46921320300434144, -0.48983221944605565, -0.4941007963069783, -0.4874752511318663, -0.4955373358144682, -0.5082450650263244, -0.4993034052249005, -0.49180945449676616]","[9.626978693277502, 8.777662619614864, 7.859110490351203, 6.9266365072529235, 6.144020346350714, 5.7289826133316435, 5.046586266717209, 4.419405581776486, 3.968656588184217, 3.6249256430482233, 3.2865760976719214, 2.8511449529892494, 2.5456743939869746, 2.312008607256128, 2.102631302607301, 1.8344025199113165, 1.6341060029413932, 1.4927410690341425, 1.3198373755694905, 1.1810458011618403, 1.0628396405318663, 0.9377425246951219, 0.839218586282785, 0.7529845091253987, 0.6822753475316098, 0.6067561149912071, 0.5378929603311152, 0.48627803990468, 0.4307440334174288, 0.38803390544014477, 0.3466664964974293]",21.0,21.0,15.919844964479587,9.626978693277502,4.8917886904819445,-0.4960738065274742,32,2,0
"[16.047005903896117, 14.745002950884125, 13.655547835978135, 12.503336747249689, 11.559231462246055, 10.397180295852133, 9.3564304995818, 8.611110722750464, 7.817683487525651, 7.21771894273612, 6.5768096483228975, 5.9358863918629385, 5.3529462222433635, 4.968977639814227, 4.587108887392698, 4.163848264044688, 3.764727467238914, 3.431863563592006, 3.1472200980056826, 2.916114144900229, 2.6274104263250813, 2.414341187612677, 2.206312988766252, 2.0108079235875835, 1.8781148330902666, 1.6949197875437512, 1.5235957917408158, 1.4027177680854168, 1.2914208333611672, 1.170390692116819]","[-0.4750011483168227, -0.4792536878488721, -0.5006964122031129, -0.4979794645550606, -0.5072682517366714, -0.4928917535445915, -0.480543131222262, -0.5009067890392422, -0.49844153173932665, -0.5115698859509873, -0.49678564006104037, -0.4995860103019386, -0.4739445080898313, -0.4906281056873528, -0.49584132950314463, -0.49581649464229216, -0.5016078478784227, -0.49647177960616995, -0.48539584477546677, -0.5133641198590319, -0.4849587623380159, -0.5047868717568192, -0.503120797779777, -0.4847303817463906, -0.5245156132725151, -0.49348924426432655, -0.48700770877637695, -0.5056636208310462, -0.5059926189780147, -0.49579621944055247]","[9.789386213182837, 8.888735348551442, 8.252144874652169, 7.506394562964807, 6.937190558453194, 6.374147601655399, 5.652681552254053, 5.218917113493746, 4.717120376438345, 4.311608479391727, 3.988708675178726, 3.610523857446772, 3.2412740074722683, 2.992396048808271, 2.761713967456051, 2.5408305472579724, 2.2713433725250862, 2.071942536570601, 1.8941604285762785, 1.7568632773531123, 1.594205574485818, 1.453872848582068, 1.328602640655224, 1.2155519147965799, 1.117523553520494, 1.0331123585147817, 0.927305648438298, 0.838897014095024, 0.7773885487595905, 0.7103505759627187, 0.6424231636412079]",26.0,26.0,16.047005903896117,9.789386213182837,5.832526113611592,-0.49613518585818245,32,3,1
"[16.447540516229875, 15.445754750740715, 14.317022269299722, 12.877117062105498, 11.987126890814048, 11.39311449102264, 10.519231997907822, 9.739647823764152, 8.9476344041562, 8.294279507018992, 7.71602163184796, 7.126761643688205, 6.641925380753639, 6.10819930077618, 5.66699946621007, 5.303036155899279, 4.838178865899153, 4.4077939954323275, 4.114342656088812, 3.7988280271740122, 3.502338184384117, 3.2492999748964504, 3.006796467735935, 2.8039513240343386, 2.6251680464422553, 2.4385637602138455, 2.2564055766768996, 2.1065613454836165, 1.9198944238449418, 1.7729598488144551]","[-0.48832730266160734, -0.5078941930397449, -0.5171471610436191, -0.47993129741382334, -0.4903525663429702, -0.5155233001054118, -0.5002614497699683, -0.5170615431146983, -0.4970457827122164, -0.49593161895193283, -0.5033567068564331, -0.490921014404806, -0.5141721698882032, -0.4980311771661484, -0.4944858984024656, -0.5103437041160432, -0.4927570933959315, -0.478401687918569, -0.5012031367758862, -0.48954800703558904, -0.4823991806756691, -0.49275513273236504, -0.4942043103981653, -0.5021409179071797, -0.5074408671218518, -0.5102352215593633, -0.4967539676740266, -0.5107513026971018, -0.49684399944060764, -0.49564221629981864]","[9.866569871776555, 9.195685763482123, 8.5894164083687, 7.843378994759619, 7.120172680796344, 6.764539470219483, 6.321145678628695, 5.820927021912167, 5.3589923526717955, 4.9807105876085505, 4.607262753947148, 4.2906181226976265, 3.9614339050825826, 3.670242565100075, 3.385608315199722, 3.16892845979993, 2.931994478586357, 2.6660439153270064, 2.459209299213878, 2.2887030741332057, 2.111952384933944, 1.955080846544107, 1.8049632290602982, 1.6728640883404284, 1.561921432928253, 1.461324097537259, 1.3441352251202325, 1.2637446727141108, 1.1593032762118871, 1.0591763216688554, 0.9906555123510139]",,,16.447540516229875,9.866569871776555,6.7124165263118725,-0.4990621309207406,32,4,2
"[16.936081610528813, 15.59244486013413, 14.398666477586797, 13.566223562396688, 12.886989792903806, 12.00723625422778, 11.116830050842843, 10.514404921267785, 9.856067578538491, 9.230690928793484, 8.69602002668456, 8.141469070664886, 7.483664124598131, 6.92702611452327, 6.441520384719591, 6.118615928781695, 5.721213024775714, 5.337821176986725, 4.993600121890225, 4.672820985063664, 4.359554852002057, 4.10185229570608, 3.8981065907594927, 3.642019878676544, 3.389222592715829, 3.181446164196092, 2.9764337991642575, 2.7985703454328696, 2.5859317226515555, 2.3895008834611677]","[-0.513451652118726, -0.5035057631907058, -0.5041498291838907, -0.4921901179656589, -0.5149883320438191, -0.500202892898675, -0.4756239967336968, -0.4953152981673265, -0.4960956962616374, -0.5067929223366471, -0.5064223301836029, -0.5133137148438407, -0.49962287825231916, -0.4907963828682583, -0.47295007270261996, -0.4956345546377402, -0.5032359413784674, -0.49426549192639074, -0.48567810692150487, -0.5043492487425817, -0.5005358535760401, -0.5040113218680967, -0.5044110440119636, -0.4973422691197724, -0.49662479224343514, -0.49737588645642156, -0.49711290997462626, -0.5029959781722145, -0.5023968604774849, -0.5064595525249709]","[10.020761847192734, 9.445506461001369, 8.530404725642358, 8.070694121871421, 7.633097141724718, 7.171419850167579, 6.689615290221227, 6.249930454598941, 5.908443608264806, 5.484547521141561, 5.148343732129608, 4.870263478131075, 4.486722709694962, 4.15361249122866, 3.8679433476522576, 3.6367970483210117, 3.437731019828226, 3.1595038936822575, 3.0153270380146013, 2.776811783123961, 2.6102432737821557, 2.421662050053033, 2.307978040629971, 2.1860189256631797, 2.0220821453036883, 1.8951740876399201, 1.781066673561281, 1.6584006782024634, 1.5694826996672497, 1.4127474172801011, 1.3401753145387538]",,,16.936081610528813,10.020761847192734,7.465401537355835,-0.49926172305943783,32,5,3
"[15.987886942408037, 14.463396152772194, 12.915911318933915, 11.215172721785354, 10.139849235890571, 9.308683902205063, 8.168101084581771, 7.3143333037822496, 6.556542417432807, 5.939823371052403, 5.274302631133206, 4.681684964045038, 4.154312922015229, 3.8004412456223498, 3.403588982256466, 3.002166471398798, 2.683519074159462, 2.425347696661222, 2.1429826373793426, 1.9176242110849078, 1.7407944044853974, 1.5580304898546264, 1.3765770656848568, 1.2312034770086733, 1.0960539630501331, 1.0042035565288976, 0.9041259213953032, 0.8038416575149139, 0.7029073392996192, 0.623488433034465]","[-0.5026040514162963, -0.5062417568462049, -0.5116635845726316, -0.4808734985378092, -0.4889698730292053, -0.5118516985709941, -0.4837073356820613, -0.5035380834617277, -0.4905989413657941, -0.505534148266219, -0.4821848910922977, -0.49426237541631185, -0.4763924899673139, -0.5098353138831865, -0.5073502954695293, -0.49948407960552016, -0.4866733811155333, -0.495700304742189, -0.4881189428697051, -0.49471638740319634, -0.5021119085931324, -0.5039011262433368, -0.4852065597203617, -0.4978847675740194, -0.4838963311686133, -0.5066633027522577, -0.5057161856075882, -0.5123991397628058, -0.49719638472611005, -0.4761762922283801]","[9.690162942561559, 8.747072287515273, 7.912325366838235, 6.93361888945076, 6.090342227706925, 5.6587139294712, 5.042079726652868, 4.434499510045647, 3.997686913864476, 3.593313038705045, 3.249958273451305, 2.8727144471286916, 2.540141731980768, 2.292801292421613, 2.0795659013454415, 1.838544055834067, 1.6264903192077267, 1.4849159509807823, 1.3179812268054931, 1.1647545733106777, 1.0524764740722792, 0.9554289938571345, 0.8400727638412893, 0.7566021256337365, 0.6650855918845041, 0.6069148447376472, 0.5496077981482261, 0.49187824127243873, 0.43187747006239247, 0.3799725597238429, 0.3454649403586037]",21.0,21.0,15.987886942408037,9.690162942561559,4.884563253148575,-0.49638178105634445,32,2,4
"[16.30223130729899, 15.054221317100893, 13.596105529783157, 12.40468004804144, 11.305537880010975, 10.345434466133991, 9.493013963548334, 8.53953570797991, 7.962247088760105, 7.233360367742147, 6.507212540107385, 6.0053403661304925, 5.529900001091507, 4.988724682085983, 4.582097333666498, 4.207050450015453, 3.7977642511322935, 3.425484309065559, 3.164246309488048, 2.8966585077869555, 2.6072714627170357, 2.424793606198543, 2.2217576551015448, 1.9904231647091815, 1.8295098306804598, 1.6870656464581832, 1.5249542621976586, 1.4014463325781807, 1.276914451567426, 1.1657755541673203]","[-0.49532975162392406, -0.5124232894457939, -0.49937721947881836, -0.4996354760195669, -0.5063360903843969, -0.502079072797661, -0.5019631805401588, -0.4779979677494865, -0.5109637435118748, -0.5027190090640005, -0.4818710586971311, -0.4875317374947691, -0.49636380025794585, -0.4787774847723851, -0.4963543687911679, -0.5079307127760606, -0.504507368413049, -0.48913180873112244, -0.5039841843665503, -0.511574731238144, -0.478956461831392, -0.5022169551691882, -0.5048524145717476, -0.48438970925015346, -0.5024453814254851, -0.5100697129015911, -0.48470596200746663, -0.5163130104045114, -0.5099049018806181, -0.49381611278087145]","[9.783752951458382, 9.065193523622584, 8.240041965443998, 7.456113627783487, 6.865251585678448, 6.155435453953913, 5.780218220477843, 5.1685397181287005, 4.762255159960197, 4.395968198878332, 3.944800127519506, 3.6123473259230696, 3.3493114687105883, 3.0413232373185646, 2.7579075776904296, 2.5379467647730687, 2.305322541095934, 2.071324350927861, 1.8971813782510856, 1.7507638174739892, 1.579760360755602, 1.4512404600429618, 1.3459466058925436, 1.2142646082468131, 1.0950631506255641, 1.0152532329176083, 0.925625018760467, 0.8436272860993166, 0.7652868852780059, 0.7039066712873012, 0.6445558409594916]",26.0,26.0,16.30223130729899,9.783752951458382,5.849025279778188,-0.49848408927923443,32,3,5
"[16.494847633359477, 15.520043915673233, 14.301778554683953, 13.219393501811556, 12.381308309271551, 11.322975315943705, 10.359836263272692, 9.740413522823694, 9.021731784629223, 8.262117229263083, 7.649762243775015, 7.073915214367125, 6.5221913536778455, 6.188118723938402, 5.725929818090173, 5.267551118220428, 4.894004759249713, 4.484286606604097, 4.217988421516048, 3.9005438246544566, 3.5676245881005757, 3.32379109992408, 3.0598837645682084, 2.8296442510247743, 2.6018743329517866, 2.36487191555561, 2.221233140622187, 2.0696576854346036, 1.9152252634929001, 1.7790367316670754]","[-0.5029113269160063, -0.5218106796676265, -0.4997795332854756, -0.48282838877284845, -0.4913195235771929, -0.48801338131558003, -0.4767205331988473, -0.503161212682222, -0.5026202616262552, -0.4957472013015867, -0.5019498027624163, -0.49834218517801493, -0.4887514319276071, -0.5162573126663519, -0.49440707330008116, -0.4987759624272696, -0.5138005852128841, -0.48537464048139173, -0.5096379833543395, -0.5081509883715425, -0.4817986281604499, -0.5004015713689408, -0.49876686404134013, -0.4987098966099625, -0.5032642383376877, -0.47178242970811696, -0.4952208061878568, -0.501102707511053, -0.49745703139033437, -0.5114075595361576]","[9.854688210220477, 9.169382305079798, 8.620070135162832, 7.890032637973078, 7.460440820597921, 6.873715113170288, 6.248359925629584, 5.805183537180005, 5.428153098325215, 4.976920432162371, 4.574039706817133, 4.251454736959273, 3.9190530140710638, 3.6387380439788015, 3.467618853652832, 3.1539634506000738, 2.9295802009114627, 2.6941287068468367, 2.5081574439612537, 2.3459029801913647, 2.144395151287351, 1.999480377750258, 1.8368415946760026, 1.6969349606917499, 1.5710519250714352, 1.4289583366760998, 1.3271385184918385, 1.2413325389201333, 1.1470053566047897, 1.0658843363398305, 0.9800208876703955]",,30.0,16.494847633359477,9.854688210220477,6.74271936293891,-0.498009058029248,32,4,6
"[16.709604466969697, 15.832658792017611, 14.700050324055473, 13.590593701481753, 12.816332188371636, 11.973353759033323, 11.180382229196514, 10.40053757059926, 9.7081246583868, 9.158812007901084, 8.549440954314035, 8.068217465697535, 7.48169468122371, 7.021856693638718, 6.533683785789566, 6.121828544734378, 5.777053743598927, 5.438318096999446, 5.092284923222687, 4.760053911671457, 4.431836943137731, 4.124996029770187, 3.810082107978186, 3.568423374894962, 3.3384161443523865, 3.1407406049592064, 2.9588182121910567, 2.7572693494770633, 2.5925977196232153, 2.400430047125923]","[-0.49206177450250893, -0.510946435948008, -0.5071192582407045, -0.501007718547601, -0.5049133152848355, -0.4989832389429838, -0.49826619417431683, -0.4829841507498221, -0.4939177929492759, -0.5097129917176755, -0.48716840438540254, -0.5083881756459128, -0.48229001361238527, -0.508544637189597, -0.50377532330478, -0.4918220948143041, -0.5008076806666169, -0.5069721829941697, -0.5152612679204331, -0.516974743713885, -0.499204609367205, -0.4969692478214836, -0.48165235794972805, -0.5008553398969432, -0.4957915423006998, -0.48207915495333065, -0.4983424383822355, -0.49196561887923507, -0.5047895420128287, -0.49122340648159774]","[9.962348096053649, 9.38052094555275, 8.832445092265145, 8.096339610402712, 7.588727141580273, 7.18429942647065, 6.642478975454872, 6.27321442617911, 5.801786374297557, 5.428889897654615, 5.111165058874924, 4.801711072604161, 4.486986007820713, 4.201953816805294, 3.881118280525183, 3.6527110978526687, 3.4343707069154794, 3.2335958133904414, 3.030411440332009, 2.8187415275062775, 2.6459871857742177, 2.471824837906129, 2.2950279763372987, 2.1305631333048693, 1.9879012983950133, 1.8718001474168442, 1.776237417947956, 1.6413091807829239, 1.5506337748787904, 1.4375683263530141, 1.3417912480329832]",,,16.709604466969697,9.962348096053649,7.467949767747118,-0.4988263551116835,32,5,7
"[15.823095264593574, 14.285536331121012, 12.712112045227624, 11.396335024140857, 10.157828304415185, 9.08525770209372, 8.18193646293902, 7.378711099706347, 6.671115153818733, 5.916571226401189, 5.243310510604377, 4.673913273860643, 4.2199658032239125, 3.777459522961456, 3.352276369980552, 3.0022209124791854, 2.702841262256437, 2.4021949180248017, 2.1676804648352888, 1.9382001442319683, 1.7250770135695852, 1.5420188155581653, 1.3944134250698645, 1.2403145460792262, 1.1170366117754282, 1.0082073979604937, 0.9063194322248544, 0.7961019535077496, 0.7056452998489299, 0.6387464680227524]","[-0.48773081439784305, -0.5023899641717907, -0.48592989411753196, -0.5001750392479989, -0.4961334498686667, -0.48840512206577946, -0.49509638925522204, -0.4944469533899073, -0.5018202211796117, -0.48298765623103274, -0.4837220117250388, -0.4876705135692684, -0.49327578753411694, -0.498985408104928, -0.49192917518076484, -0.4974691570693989, -0.5038216455411325, -0.48690200127534256, -0.4988697741193065, -0.49232566287619617, -0.492324615342387, -0.4864127574178041, -0.5046921806602845, -0.4892516875113871, -0.5105509534786179, -0.5026416016447032, -0.5108274559478359, -0.49660876609907983, -0.48285460173467143, -0.5020167806535366]","[9.65631747631792, 8.680872639010174, 7.793606634891839, 6.945978283645313, 6.2056678574370645, 5.532224083949973, 4.994592885610274, 4.463540696429712, 4.069397084458838, 3.6248141095891344, 3.242417842571345, 2.8405393424945458, 2.57653408224395, 2.304652724054026, 2.0562946357083054, 1.822640855918058, 1.6454345112244697, 1.469939085982706, 1.314571703020141, 1.1883294056534675, 1.0540921337786782, 0.9418987977092944, 0.8459003872832376, 0.7609785940377507, 0.675500290999831, 0.6092770268568865, 0.5534330576002012, 0.4886867073430458, 0.4310053451097638, 0.38810908027614754, 0.3486054162943354]",21.0,21.0,15.823095264593574,9.65631747631792,4.872081425351098,-0.4949422680470394,32,2,8
"[16.219623095441467, 14.892341310764184, 13.667058121047647, 12.314527081619802, 11.235958176796576, 10.33391682831791, 9.485458562829438, 8.693638035875914, 7.956196277533226, 7.214436706151385, 6.569592230136975, 5.984981407210182, 5.463575932312986, 4.98463485529558, 4.502686473189192, 4.119675867995424, 3.7944062821787905, 3.4875900958055115, 3.1606726306789916, 2.8630726382793665, 2.6085431140338193, 2.43568197049818, 2.228670218064903, 1.9933150782786113, 1.8221215027379865, 1.6620588050483085, 1.516584522444322, 1.3968098187304985, 1.2832450163820248, 1.1608065104966683]","[-0.49469941177917837, -0.49441871925698744, -0.5045987938026343, -0.48737827663353045, -0.49974345591909414, -0.49744169137201194, -0.5019635018367379, -0.5075382006540256, -0.5034607201137742, -0.49081831473972776, -0.4968475561008269, -0.49659093101693375, -0.4943123582501492, -0.5042048706100204, -0.489900347635284, -0.49974929642217253, -0.5033523790073355, -0.5069049926590189, -0.49417787106148375, -0.49529334604194475, -0.48014875008772345, -0.4986415795083244, -0.5108948526723602, -0.48682022533642016, -0.49200730500790024, -0.49568028520637986, -0.4982308310490482, -0.5022700244843071, -0.5074200229048701, -0.49841269336733124]","[9.775645242775397, 8.98064657402103, 8.242275962568538, 7.50933352342723, 6.763753114400992, 6.2075463495965595, 5.7320444091457565, 5.20952169263199, 4.801177083469035, 4.371951497503718, 3.9810527879204063, 3.6097916500939915, 3.306702788498387, 3.01175693761444, 2.733736420826617, 2.481014313510955, 2.2748854519245945, 2.100481525256985, 1.9160175858178137, 1.7392700394661424, 1.570467821396132, 1.4610562171874724, 1.3519942544758075, 1.2109003279098929, 1.1000431195657123, 1.008919454344271, 0.9122095661682306, 0.8395200151443154, 0.7716849261429178, 0.7059497013800464, 0.6345068065194231]",26.0,26.0,16.219623095441467,9.775645242775397,5.835062638872529,-0.4977973868179179,32,3,9
