acceleration,orthogonality,step_norms,exit_step_by_acceleration,exit_step_by_norm,max_acceleration,max_step_norm,mean_acceleration,mean_orthogonality,num_steps,depth,seq_len,sample_id,trajectory_type
"[15.919820675630964, 14.415015212454502, 12.836204608299965, 11.183444820998194, 10.329727838096382, 9.386503822960409, 8.191145434429636, 7.2365764621689115, 6.5771884156452645, 6.011735038331145, 5.320590270493933, 4.645273252597174, 4.2173359160006285, 3.812912980259668, 3.4215016491133197, 2.994192044700258, 2.709943217364531, 2.4296178916086606, 2.164119338936763, 1.941106719523718, 1.7390611418827195, 1.5374504357369476, 1.3655954328229643, 1.2391986488547382, 1.1147838936449872, 0.988280729628047, 0.8857725043438184, 0.7973659055678891, 0.7094721968193165, 0.6348722459508148]","[-0.49546923352192324, -0.5000157160961777, -0.5054146681179496, -0.4623337942809888, -0.5133613557039698, -0.5156951253478972, -0.4954043410990165, -0.487209415764436, -0.4988113388467084, -0.5113557370027877, -0.500745990628232, -0.48023133088231135, -0.5063118359494566, -0.490536650285362, -0.5073854953384223, -0.48791935098601713, -0.5010590651822583, -0.49041410255237244, -0.4946281664866668, -0.49237502984452225, -0.5072080511591137, -0.4949853810806434, -0.46840828970919995, -0.4863430166940765, -0.4872938159014226, -0.48388019422631495, -0.4950349930461502, -0.5082389379943033, -0.4897723556301536, -0.47118419766067754]","[9.626461154665275, 8.777383096998982, 7.859110490351203, 6.926522610332749, 6.143642612505076, 5.729000324693165, 5.046431933219433, 4.419405581776486, 3.9683483193258784, 3.6267777510610926, 3.286134959007987, 2.8508941456625876, 2.5456743939869746, 2.3120309693133834, 2.1030051716702056, 1.8351381456199451, 1.6342634293371294, 1.4927410690341425, 1.3199331009850808, 1.1821814872611576, 1.0638745840036712, 0.9381218574562401, 0.839218586282785, 0.7536760326335069, 0.683188710645375, 0.6088017174381941, 0.5377835122355688, 0.48627803990468, 0.4313874836413439, 0.3902959108138668, 0.3495324661595533]",21.0,21.0,15.919820675630964,9.626461154665275,4.891860291495543,-0.49430089923398435,32,2,164,0,synthetic
"[16.148276622670036, 14.95513867470986, 13.693272302049747, 12.659317045889608, 11.386674120884278, 10.246876749453225, 9.43062530693334, 8.561688046150879, 7.90462521168907, 7.202720938716075, 6.5008013749361755, 5.862383115893465, 5.441872458545078, 5.023661470849956, 4.560119371056915, 4.123014471576806, 3.758472096665327, 3.4467392718951695, 3.1936390946809694, 2.877459604919292, 2.6441126861041067, 2.4162865600953327, 2.2021753873709504, 2.056853969775766, 1.856224354356775, 1.6685955498361846, 1.5362136323763451, 1.4143246307146218, 1.2817761187200973, 1.1637596734820097]","[-0.479253687848872, -0.500696412203113, -0.49797946455506065, -0.5072682517366714, -0.4928917535445917, -0.48054313122226183, -0.5009067890392422, -0.4984415317393267, -0.5115698859509871, -0.49678564006104037, -0.49958601030193844, -0.4739445080898316, -0.49062810568735293, -0.49584132950314463, -0.49581649464229205, -0.5016078478784226, -0.4964717796061701, -0.48539584477546666, -0.5133641198590317, -0.4849587623380159, -0.5047868717568192, -0.5031207977797769, -0.4847303817463906, -0.5245156132725154, -0.4934892442643263, -0.4870077087763769, -0.5056636208310462, -0.5059926189780148, -0.49579621944055235, -0.4948944005986695]","[9.734671312867214, 9.037496880137397, 8.220773929000392, 7.597399098204994, 6.980771658583379, 6.19064408937192, 5.715598531937245, 5.166046080485348, 4.721941843334291, 4.3683118456187, 3.9541353906140935, 3.549744239243713, 3.2771807046565127, 3.02454473883288, 2.782639967256951, 2.4875058490513298, 2.269128147228516, 2.074426615596637, 1.924062971395175, 1.7459252260547007, 1.592237113230606, 1.4550450097823815, 1.3312353096663458, 1.223877644155784, 1.1314330830022272, 1.0155568075927832, 0.9187343730389758, 0.8513721815100189, 0.7779542423917356, 0.7035622162874515, 0.6420495386713867]",26.0,26.0,16.148276622670036,9.734671312867214,5.840589997099915,-0.49679829426757743,32,2,121,1,synthetic
"[16.680781846023102, 15.461797044743996, 13.906758457911083, 12.94560556302225, 12.304096526095586, 11.360339263213495, 10.518420318535249, 9.66307829836175, 8.957481797377945, 8.332987001096768, 7.696610373880692, 7.1730070884753765, 6.596604805174192, 6.120127073288295, 5.7270616208564835, 5.225034807071049, 4.760236792992665, 4.443321378174382, 4.1025785152265986, 3.782381641266603, 3.509110749731202, 3.2472169047803057, 3.0281524663494643, 2.835073856766625, 2.633548878522381, 2.4368255088921646, 2.274999882902581, 2.0734072609833385, 1.9147239443520077, 1.8014231674318606]","[-0.5078941930397451, -0.5171471610436191, -0.4799312974138234, -0.49035256634297, -0.5155233001054117, -0.5002614497699681, -0.5170615431146981, -0.49704578271221617, -0.49593161895193266, -0.5033567068564327, -0.4909210144048061, -0.5141721698882034, -0.49803117716614853, -0.49448589840246543, -0.5103437041160435, -0.49275709339593154, -0.4784016879185692, -0.501203136775886, -0.48954800703558893, -0.48239918067566917, -0.49275513273236515, -0.49420431039816515, -0.5021409179071801, -0.5074408671218519, -0.5102352215593633, -0.49675396767402663, -0.5107513026971016, -0.49684399944060786, -0.49564221629981847, -0.5183375853572065]","[9.930963596186174, 9.27621755005391, 8.470527731316654, 7.689494564108729, 7.305425277850707, 6.826578162331652, 6.286362522328758, 5.787492019134736, 5.3789632226351065, 4.975654873855513, 4.633691654716974, 4.27818619643388, 3.963711488264218, 3.6563181685388404, 3.4223128087050365, 3.16643382342309, 2.879218119228159, 2.6558452141635116, 2.4717054819291118, 2.280821984473235, 2.111407154834986, 1.949286282860628, 1.806624627023475, 1.6868111078906356, 1.578170110216636, 1.4516109328170268, 1.3647924322770322, 1.2520000062116083, 1.1438670005675242, 1.0698673358966186, 0.997232885820918]",,,16.680781846023102,9.930963596186174,6.717093094449983,-0.5000624736772605,32,2,170,2,synthetic
"[16.667453746844373, 15.391342568495313, 14.501269273739462, 13.77542042133651, 12.83500665020592, 11.883236665127988, 11.239236594516619, 10.53569862073698, 9.866765741572491, 9.295678313227441, 8.70268263490665, 7.9997402276933665, 7.404569100346327, 6.885578954660013, 6.540445689889054, 6.115776908044484, 5.705540413587073, 5.338088236884361, 4.994910438017599, 4.660072777793466, 4.384775018445418, 4.166457115229457, 3.893641782142569, 3.6227112094308147, 3.400790172614781, 3.18162648359452, 2.99166152010013, 2.764023186288544, 2.554420880712785, 2.379883668930969]","[-0.5034854562940912, -0.5042133088395714, -0.49218319960488466, -0.5150235549311953, -0.5002749156942206, -0.47565872492522815, -0.49520296357138477, -0.49610998182580446, -0.5067563889803867, -0.5064595486144851, -0.5133719377062328, -0.4994618407209519, -0.4904627006461166, -0.4728987924277715, -0.49559314542828437, -0.5032741687908636, -0.4942340383079675, -0.48564015259802296, -0.5039642267757432, -0.5003129975819581, -0.5040166558960748, -0.5041861870029889, -0.49747222389993895, -0.4961816713453996, -0.49705077033884437, -0.4962144435397345, -0.5027386840738299, -0.5023865921733744, -0.506509943049867, -0.5015462239188326]","[10.0970501196786, 9.118316504009268, 8.62692497467796, 8.159282853280246, 7.665674513073509, 7.150574461176057, 6.680879015283033, 6.316147675312439, 5.862387971480757, 5.503342903106468, 5.205992224423979, 4.795801557011902, 4.440884368155711, 4.134617898796337, 3.8876165694684603, 3.6747476341923373, 3.3773771915403574, 3.222900588074972, 2.9689071220284458, 2.7901979021141283, 2.588975974029988, 2.4668745763399706, 2.336856505060951, 2.1617837697655395, 2.025955521207186, 1.9041709915129974, 1.773518102438123, 1.6773625432995323, 1.5102703198596423, 1.432605364637679, 1.313170155096219]",,,16.667453746844373,10.0970501196786,7.455950167170517,-0.49876284798346837,32,2,118,3,synthetic
"[16.130021242776643, 14.006055769260158, 12.663139250089511, 11.62513936316296, 10.200723801371355, 9.134496873929798, 8.188130582572516, 7.417941699008553, 6.586806875663302, 5.846716972369827, 5.188108994137791, 4.746176751302815, 4.250568251037574, 3.74925220236116, 3.3513097607084856, 3.028892727911202, 2.676261442981434, 2.3948228271836305, 2.1739891232060455, 1.9457446151250872, 1.7191367115741876, 1.53758706977322, 1.3688057521199704, 1.2540984758185807, 1.1291166343696284, 1.0038767448439376, 0.8778250356973113, 0.7786428244307226, 0.7245099953455024, 0.6448299705925677]","[-0.5116635845726316, -0.48087349853780914, -0.48896987302920547, -0.5118516985709941, -0.4837073356820612, -0.5035380834617277, -0.490598941365794, -0.505534148266219, -0.4821848910922977, -0.4942623754163117, -0.4763924899673137, -0.5098353138831866, -0.5073502954695293, -0.49948407960552005, -0.4866733811155334, -0.495700304742189, -0.488118942869705, -0.49471638740319623, -0.5021119085931324, -0.5039011262433366, -0.48520655972036136, -0.49788476757401906, -0.4838963311686132, -0.5066633027522579, -0.5057161856075882, -0.5123991397628058, -0.4971963847261103, -0.4761762922283801, -0.5271155398298102, -0.502453471782278]","[9.881298585549251, 8.659042108179282, 7.605917002904979, 7.066878490824174, 6.296795564046745, 5.538019697709019, 4.992506781002476, 4.487504924355794, 4.058706714102323, 3.5875861882614597, 3.1722531290881566, 2.8633623008863265, 2.5970635239097186, 2.2960636647381403, 2.0312405955847543, 1.8544356059449072, 1.6459593644614898, 1.454602431543577, 1.3143840542960443, 1.1931864183898977, 1.0491239210023113, 0.9448817088819602, 0.8305913892142772, 0.7579449174309424, 0.6863770771119171, 0.6142815852996217, 0.5393496900347268, 0.47452830146279534, 0.4314335000465759, 0.39748275989176035, 0.3459021972769703]",21.0,21.0,16.130021242776643,9.881298585549251,4.87809094469085,-0.4970725545013306,32,2,124,4,synthetic
"[16.307115975283676, 14.878124896617027, 13.559818064698561, 12.408273772543641, 11.385883944447363, 10.242285841343094, 9.54988812170147, 8.675664229687177, 7.804725355720579, 7.202781826532669, 6.63254050595463, 5.983456937821647, 5.495749681146332, 5.04591991081475, 4.555023639257409, 4.108512527876609, 3.7951846894798202, 3.474240923167311, 3.1271512293309116, 2.908287999514859, 2.664767471196072, 2.387305785153129, 2.194306959553563, 2.0234599602397534, 1.8290241978621196, 1.680889268506057, 1.531526215842623, 1.3982266555164256, 1.2782803307325428, 1.1627094077210713]","[-0.4993772194788184, -0.49963547601956715, -0.5063360903843969, -0.5020790727976606, -0.5019631805401588, -0.4779979677494865, -0.5109637435118747, -0.5027190090640007, -0.48187105869713126, -0.48753173749476914, -0.49636380025794596, -0.4787774847723851, -0.49635436879116795, -0.5079307127760608, -0.5045073684130489, -0.4891318087311224, -0.5039841843665506, -0.511574731238144, -0.478956461831392, -0.5022169551691883, -0.5048524145717477, -0.48438970925015346, -0.5024453814254853, -0.5100697129015912, -0.4847059620074666, -0.5163130104045113, -0.5099049018806179, -0.49381611278087123, -0.5091255923711465, -0.5088958916407063]","[9.88307421396153, 8.942833621496435, 8.234155991354983, 7.3828052898027385, 6.93277120255504, 6.199126391138635, 5.711830275754163, 5.2725071224061875, 4.731377896255588, 4.332635301910078, 4.017151120073893, 3.6477512358695274, 3.3078235984557542, 3.044003456842137, 2.7649948697247746, 2.4843383525538525, 2.2754719499284732, 2.0998592982628947, 1.8947584188402837, 1.7406121508915686, 1.6143231126552744, 1.4563842379707523, 1.3134144743428906, 1.2176907701402033, 1.110191039447735, 1.0118432785182114, 0.9178821071412417, 0.8442629177386928, 0.7730777631909543, 0.6978582745638305, 0.6403573579388816]",26.0,26.0,16.307115975283676,9.88307421396153,5.84303754417543,-0.49882637071063907,32,2,165,5,synthetic
"[16.680426900421402, 15.417804143983318, 14.440535820870846, 13.206039601041036, 12.082885896894307, 11.360355726343515, 10.522286959405708, 9.635928136082786, 8.921988343727222, 8.250461269724422, 7.6069073965114695, 7.217273662567027, 6.678215288319662, 6.143828001111134, 5.707808060658574, 5.230132197225555, 4.91945082773813, 4.549248886655216, 4.160787370849561, 3.877205081072791, 3.5684845542462345, 3.300261903693525, 3.034708011338032, 2.758177170301789, 2.5904088233346645, 2.4141450044649293, 2.2337222673692256, 2.0750911373494603, 1.9036174767991598, 1.7733111867591254]","[-0.4997797817640724, -0.4828352173165705, -0.49132352683693264, -0.48802068691430756, -0.4766958529008217, -0.5030388404070635, -0.5027597970554166, -0.4957995870476407, -0.5019493983763234, -0.49840444187826183, -0.4887760360591172, -0.5161015967284922, -0.4940729868736332, -0.49875127327854824, -0.5137836937443786, -0.48538451635728497, -0.5096465953580037, -0.5080862297895862, -0.48087939955314224, -0.5003338645303514, -0.4987005712196077, -0.498704395768138, -0.5026652989822246, -0.47164248939684245, -0.49498255198780944, -0.5007774537268836, -0.49744664687873535, -0.5109624351159967, -0.48939102839245796, -0.4979252896355668]","[10.054016760498762, 9.202009496805163, 8.701238687314936, 8.01691475948765, 7.287382959306556, 6.771032073903975, 6.3310671360409, 5.8040757644377, 5.3348158788917175, 4.958439441557728, 4.570804643379588, 4.243861853026877, 4.044792781155756, 3.678892067910158, 3.4167246029938703, 3.1421641257322572, 2.925369543762397, 2.735915227159766, 2.5012888392098236, 2.3330659836310272, 2.1420897594845703, 1.9791499519090916, 1.8323658137458594, 1.667417812700677, 1.5471823253310235, 1.4484295525016693, 1.3377314336035613, 1.2431655825188586, 1.1435626718228677, 1.0618411338620908, 0.9867586824300228]",,30.0,16.680426900421402,10.054016760498762,6.742049903561993,-0.49665404946247366,32,2,123,6,synthetic
"[16.599588632024044, 15.653903484374082, 14.624287305710736, 13.65574969202557, 12.703245275078409, 11.857530234316396, 11.186598247920866, 10.442310762326677, 9.854543066039025, 9.138162519358913, 8.57651513301578, 7.980259396909756, 7.477218269522228, 7.056109376471262, 6.642376723427488, 6.219730850561639, 5.813942976706622, 5.413057866064561, 5.038281528161055, 4.653644795501271, 4.358482152379929, 4.077550686598445, 3.836109237562815, 3.613908725264699, 3.367736388441782, 3.166606005547562, 2.9318918803301486, 2.763679426305023, 2.551931228499391, 2.387106486295984]","[-0.5010077185476006, -0.5049133152848353, -0.4989832389429835, -0.4982661941743169, -0.48298415074982215, -0.49391779294927596, -0.5097129917176755, -0.48716840438540265, -0.5083881756459129, -0.4822900136123851, -0.5085446371895971, -0.5037753233047799, -0.4918220948143042, -0.5008076806666167, -0.5069721829941697, -0.515261267920433, -0.516974743713885, -0.499204609367205, -0.49696924782148383, -0.4816523579497281, -0.5008553398969432, -0.4957915423006998, -0.48207915495333037, -0.49834243838223585, -0.49196561887923496, -0.5047895420128286, -0.4912234064815977, -0.515656294759646, -0.48559916836652245, -0.4898306199444196]","[9.888891531147307, 9.268892261651088, 8.774923134939778, 8.11314214164152, 7.662121402665332, 7.086317879823127, 6.63086109474323, 6.242791100321719, 5.864823147966949, 5.480417085778308, 5.13227798150764, 4.740408572579314, 4.461431409679511, 4.194749853971059, 3.949522845250262, 3.701352891581648, 3.442818676236777, 3.2318160467610957, 3.0190936747073605, 2.8031535003531296, 2.6022756874529414, 2.4280281288098524, 2.286221862779546, 2.169501281428932, 2.004699560401872, 1.8939483695332706, 1.7558499188512704, 1.6388675312226622, 1.535289602468994, 1.4249626983250645, 1.340378895755469]",,,16.599588632024044,9.888891531147307,7.454735278424739,-0.4981916422576624,32,2,124,7,synthetic
"[15.90486676013476, 14.176391393532997, 12.679498534151092, 11.41881218894263, 10.29782089187082, 9.310291197849523, 8.257240317472341, 7.317629297183958, 6.522971438774716, 5.8894367084176915, 5.271869445504779, 4.678478554267351, 4.189936808309248, 3.7721188486404533, 3.3525330750740734, 3.025241790340519, 2.704976203593786, 2.4075389143681183, 2.152060618709511, 1.9460607017343532, 1.7309983915231808, 1.5589501746698537, 1.407066771657381, 1.2648706607099771, 1.1110497779507238, 0.9848073481727658, 0.8914425072524079, 0.7924821187828903, 0.7069366203269095, 0.6344983589124724]","[-0.500175039247999, -0.4961334498686667, -0.4884051220657797, -0.4950963892552221, -0.4944469533899075, -0.5018202211796117, -0.4829876562310328, -0.48372201172503904, -0.48767051356926855, -0.49327578753411666, -0.4989854081049277, -0.4919291751807649, -0.4974691570693987, -0.5038216455411325, -0.48690200127534244, -0.4988697741193064, -0.4923256628761963, -0.49232461534238703, -0.48641275741780415, -0.5046921806602843, -0.4892516875113871, -0.5105509534786179, -0.5026416016447034, -0.5108274559478356, -0.49660876609907995, -0.4828546017346714, -0.5020167806535366, -0.4925476774639753, -0.4979825003768549, -0.4936598175732569]","[9.693893597033547, 8.660707167796538, 7.720840669921092, 6.970515889404284, 6.229372855814723, 5.679301133679862, 5.058835609969966, 4.5251586284134016, 3.96429200033126, 3.595842978837441, 3.216401977198301, 2.869790343232385, 2.543700224988787, 2.2963888485303263, 2.051465252517154, 1.8346326024014894, 1.6584472836251472, 1.471104079087032, 1.3145256652567405, 1.1805490908776217, 1.0620311810636276, 0.942736599268633, 0.8503145890009817, 0.7723780516402265, 0.6820172407423644, 0.6015164149137044, 0.5416498547221261, 0.4865180504326833, 0.4302563796259145, 0.3861948829395152, 0.34767134491214013]",21.0,21.0,15.90486676013476,9.693893597033547,4.878629213961043,-0.4952135788046034,32,2,170,8,synthetic
"[16.175558740971645, 14.758803545227902, 13.57405189478487, 12.459636818309207, 11.419513976538344, 10.450912503467212, 9.476349180145144, 8.629283855062504, 7.861979251472718, 7.17647512974066, 6.547527024021211, 5.914271493538871, 5.411633320688487, 4.9838452457630655, 4.581101588619872, 4.151787958181416, 3.760847607834393, 3.426693356538893, 3.198635146560759, 2.9281625207206443, 2.618115584145655, 2.3934330450609624, 2.1835729266011503, 1.9915978297553767, 1.8353079328880533, 1.685430025427191, 1.5247986133596216, 1.3978219206926816, 1.2807411017991535, 1.1735651213867235]","[-0.4874519381595773, -0.49972384436566564, -0.4974571354858167, -0.5019869173155693, -0.5073591639194733, -0.5034019752305086, -0.49089885520930593, -0.49681882211184436, -0.4965487321096586, -0.49388739482875965, -0.5043747433984497, -0.49000467509850537, -0.49981473438495744, -0.5032925341634451, -0.5071129641623646, -0.49381943415431634, -0.494606673385812, -0.4805852358497538, -0.49843192560010313, -0.5111934599611434, -0.48586975930309034, -0.4906890544713471, -0.4955037626119816, -0.4981700268572719, -0.502446381656963, -0.506049677816778, -0.4967445999068576, -0.5055677836239878, -0.48922082733821876, -0.49935756404220777]","[9.863308446257948, 8.884431728523108, 8.153912419878514, 7.529179817742893, 6.84302041928938, 6.307304986509696, 5.742333686525209, 5.229263901750482, 4.741548615967451, 4.344222795217344, 3.9563229883220052, 3.5901833573669983, 3.259159511445437, 2.988081245760592, 2.7589529279377865, 2.5165285962752724, 2.2855688853312017, 2.0629862917206108, 1.918760216774357, 1.77571067508958, 1.5912609443638341, 1.4450004769145859, 1.326449470710282, 1.1976015985159982, 1.1028480130632423, 1.0140401957894907, 0.927582809542724, 0.8341844444952475, 0.7765554819257582, 0.7071019782798511, 0.6478723995559718]",26.0,26.0,16.175558740971645,9.863308446257948,5.832381808643478,-0.4976130198841245,32,2,176,9,synthetic
